time_zone	country	Column1
Abu Dhabi	United Arab Emirates	
Adelaide	Australia	
Alaska	United States	
Almaty	Kazakhstan	
Amsterdam	Netherlands	
Arizona	United States	
Astana	Kazakhstan	
Athens	Greece	
Atlantic Time (Canada)	Canada	
Auckland	New Zealand	
Azores	Spain	
Baghdad	Iraq	
Baku	Azerbaijan	
Bangkok	Thailand	
Beijing	China	
Belgrade	Belgium	
Berlin	Germany	
Bern	Germany	
Bogota	Colombia	
Brasilia	Brazil	
Bratislava	Slovakia	
Brisbane	Australia	
Brussels	Belgium	
Bucharest	Romania	
Budapest	Hungary	
Buenos Aires	Argentina	
Cairo	Egypt	
Canberra	Australia	
Cape verde Is.	Cape verde	
Caracas	Venezuela	
Casablanca	Morocco	
Central America	Mexico	Inferred
Central Time (US & Canada)	United States	Inferred
Chennai	India	
Chihuahua	Mexico	
Chongqing	China	
Copenhagen	Denmark	
Darwin	Australia	
Dhaka	Bangladesh	
Dublin	Ireland	
Eastern Time (US & Canada)	United States	Inferred
Edinburgh	United Kingdom	
Ekaterinburg	Russian Federation	
Fiji	Saudi Arabia	
Georgetown	Guyana	
Greenland	Greenland	
Guadalajara	Mexico	
Guam	Guam	
Hanoi	Viet Nam	
Harare	Zimbabwe	
Hawaii	United States	
Helsinki	Finland	
Hobart	Australia	
Hong Kong	Hong Kong	
Indiana (East)	United States	Inferred
International Date Line West		
Irkutsk	Russian Federation	
Islamabad	Padkistan	
Istanbul	Turkey	
Jakarta	Indonesia	
Jerusalem	Israel	
Kabul	Afghanistan	
Kamchatka	Russian Federation	
Karachi	Pakistan	
Kathmandu	Nepal	
Kolkata	India	
Krasnoyarsk	Russian Federation	
Kuala Lumpur	Malaysia	
Kuwait	Kuwait	
Kyiv	Ukraine	
La Paz	Bolivia	
Lima	Peru	
Lisbon	Portugal	
Ljubljana	Slovenia	
London	United Kingdom	
Madrid	Spain	
Magadan	Romania	
Marshall Is.	Marshall Islands	
Mazatlan	Mexico	
Melbourne	Australia	
Mexico City	Mexico	
Mid-Atlantic	United States	Inferred
Midway Island	United States	
Minsk	Belarus	
Monrovia	Liberia	
Monterrey	Mexico	
Moscow	Russian Federation	
Mountain Time (US & Canada)	United States	Inferred
Mumbai	India	
Muscat	Oman	
Nairobi	Kenya	
New Caledonia	France	
New Delhi	India	
Newfoundland	United States	
Novosibirsk	Ukraine	
Nuku'alofa	Tonga	
Osaka	Japan	
Pacific Time (US & Canada)	United States	Inferred
Paris	France	
Perth	Australia	
Port Moresby	Papua New Guinea	
Prague	Czech Republic	
Pretoria	South Africa	
Quito	Ecuador	
Rangoon	Myanmar	
Riga	Latvia	
Riyadh	Saudi Arabia	
Rome	Italy	
Samoa	Papua New Guinea	
Santiago	Chile	
Sapporo	Japan	
Sarajevo	Bosnia And Herzegowina	
Saskatchewan	Canada	
Seoul	Korea (S)	
Singapore	Singapore	
Skopje	Macedonia	
Sofia	Bulgaira	
Solomon Is.	Solomon Islands	
Sri Jayawardenepura	Sri Lanka	
St. Petersburg	Russian Federation	
Stockholm	Sweden	
Sydney	Australia	
Taipei	Taiwan	
Tallinn	Estonia	
Tashkent	Uzbekistan	
Tbilisi	Georgia	
Tehran	Iran (ISLAMIC REPUBLIC OF)	
Tijuana	Mexico	
Tokyo	Japan	
Ulaan Bataar	Mongolia	
Urumqi	China	
Vienna	Austria	
Vilnius	Lithuania	
Vladivostok	Russian Federation	
Volgograd	Russian Federation	
Warsaw	Poland	
Wellington	New Zealand	
West Central Africa	Nigeria	Inferred
Yakutsk	Russian Federation	
Yerevan	Armenia	
Zagreb	Croatia	
null		